npaid	compound_name	formula	origin_type	origin_genus	origin_species	original_reference_doi
NPA032293	(±)-dispirocochlearoid A	C42H50O7	Fungus	Ganoderma	cochlear	10.1021/acs.orglett.0c00452
NPA032294	(±)-dispirocochlearoid C	C37H42O7	Fungus	Ganoderma	cochlear	10.1021/acs.orglett.0c00452
NPA032295	3-(3-hydroxy-2-(hydroxymethyl)phenyl)propanoic acid	C10H12O4	Fungus	Colletotrichum	boninense AM-12‑2	10.1021/acs.orglett.0c00925
NPA032296	2-hydroxymethyl-3-hydroxy-(E)-cinnamic acid	C10H10O4	Fungus	Colletotrichum	boninense AM-12‑2	10.1021/acs.orglett.0c00925
NPA032297	Colletofuran A	C16H22O5	Fungus	Colletotrichum	boninense AM-12‑2	10.1021/acs.orglett.0c00925
NPA032298	Colletofuran B	C22H34O7	Fungus	Colletotrichum	boninense AM-12‑2	10.1021/acs.orglett.0c00925
NPA032299	Colletofuran C	C23H36O7	Fungus	Colletotrichum	boninense AM-12‑2	10.1021/acs.orglett.0c00925
NPA032300	Colletofuran D	C22H34O7	Fungus	Colletotrichum	boninense AM-12‑2	10.1021/acs.orglett.0c00925
NPA032301	Colletofuran E	C23H36O7	Fungus	Colletotrichum	boninense AM-12‑2	10.1021/acs.orglett.0c00925
NPA032302	Alternarin A	C26H38O7S	Fungus	Alternaria	sp. ZH-15	10.1021/acs.orglett.0c00746
NPA032303	Spiroinonotsuoxotriol A	C31H52O5	Fungus	Inonotus	obliquus	10.1021/acs.orglett.0c00866
NPA032304	Spiroinonotsuoxotriol B	C30H50O5	Fungus	Inonotus	obliquus	10.1021/acs.orglett.0c00866
NPA032305	Not named	C31H50O4	Fungus	Inonotus	obliquus	10.1021/acs.orglett.0c00866
NPA032306	Waikikiamide A	C41H39N3O9	Fungus	Aspergillus	sp. FM242	10.1021/acs.orglett.0c01411
NPA032307	Waikikiamide B	C41H39N3O8	Fungus	Aspergillus	sp. FM242	10.1021/acs.orglett.0c01411
NPA032308	Waikikiamide C	C54H62N6O11	Fungus	Aspergillus	sp. FM242	10.1021/acs.orglett.0c01411
NPA032309	Loonamycin A	C35H36Cl2N4O11	Bacterium	Nocardiopsis	flavescens NA01583	10.1021/acs.orglett.0c01456
NPA032310	Loonamycin B	C34H34Cl2N4O11	Bacterium	Nocardiopsis	flavescens NA01583	10.1021/acs.orglett.0c01456
NPA032311	Loonamycin C	C35H36Br2N4O11	Bacterium	Nocardiopsis	flavescens NA01583	10.1021/acs.orglett.0c01456
NPA032312	Pulvomycin C	C47H66O13	Bacterium	Streptomyces	sp.	10.1021/acs.orglett.0c01249
NPA032313	Pulvomycin B	C47H66O13	Bacterium	Streptomyces	sp.	10.1021/acs.orglett.0c01249
NPA032314	Pulvomycin D	C47H64O13	Bacterium	Streptomyces	sp.	10.1021/acs.orglett.0c01249
NPA032315	Formicin A	C21H29NO3S	Bacterium	Streptomyces	sp.	10.1021/acs.orglett.0c01584
NPA032316	Formicin B	C21H29NO3S	Bacterium	Streptomyces	sp.	10.1021/acs.orglett.0c01584
NPA032317	Formicin C	C17H22O3	Bacterium	Streptomyces	sp.	10.1021/acs.orglett.0c01584
NPA032318	(R)-4-ethoxy-2-hydroxy-4-oxobutanoic acid	C6H10O5	Fungus	Leucopaxillus	giganteus	10.1080/09168451.2020.1743170
NPA032319	MBJ-0030	C25H35NO7S	Fungus	Stachybotrys	sp. f23793	10.1080/09168451.2020.1757402
NPA032320	MBJ-0031	C25H35NO8S	Fungus	Stachybotrys	sp. f23793	10.1080/09168451.2020.1757402
NPA032321	MBJ-0032	C33H44N4O7	Fungus	Stachybotrys	sp. f23793	10.1080/09168451.2020.1757402
NPA032322	Psoralenone	C22H22O6	Fungus	Aspergillus	terreus C23-3	10.1080/09168451.2020.1764838
NPA032323	Photeroid A	C23H32O3	Fungus	Phomopsis	tersa FS441	10.1039/c9ob02625h
NPA032324	Photeroid B	C23H30O2	Fungus	Phomopsis	tersa FS441	10.1039/c9ob02625h
NPA032325	Xylarilongipin B	C20H28O3	Fungus	Xylaria	longipes HFG1018	10.1039/d0ob00220h
NPA032326	Hymatoxin L	C20H30O3	Fungus	Xylaria	longipes HFG1018	10.1039/d0ob00220h
NPA032327	Xylarilongipin A	C19H28O2	Fungus	Xylaria	longipes HFG1018	10.1039/d0ob00220h
NPA032328	Phaseolide A	C12H20O3	Fungus	Macrophomina	phaseolina	10.1039/d0ob00519c
NPA032329	Bungoene	C15H24	Bacterium	Streptomyces	bungoensis DSM 41718	10.1039/d0ob00606h
NPA032330	Tricinoloniol acid A	C15H26O3	Fungus	Trichoderma	hypoxylon CGMCC 3.17906	10.1039/d0ob01202e
NPA032331	Tricinoloniol acid B	C15H26O3	Fungus	Trichoderma	hypoxylon CGMCC 3.17906	10.1039/d0ob01202e
NPA032332	Tricinoloniol acid C	C15H26O3	Fungus	Trichoderma	hypoxylon CGMCC 3.17906	10.1039/d0ob01202e
NPA032333	Lithocaldehyde A	C25H28O5	Fungus	Phomopsis	lithocarpus FS508	10.1039/d0ob01674h
NPA032334	Lithocaldehyde B	C25H28O5	Fungus	Phomopsis	lithocarpus FS508	10.1039/d0ob01674h
NPA032335	Gardenomycin A	C19H18O7	Bacterium	Streptomyces	bulli GJA1	10.1039/d0ob01851a
NPA032336	Gardenomycin B	C19H18O6	Bacterium	Streptomyces	bulli GJA1	10.1039/d0ob01851a
NPA032337	Effphenol A	C26H26O7	Fungus	Trichobotrys	effuse FS524	10.1039/d0ob01985b
NPA032338	Forazoline B	C43H69BrN4O10S2	Bacterium	Actinomadura	sp. WMMB-499	10.1002/anie.201405990
NPA032339	Talaromycin A	C22H24O5	Fungus	Talaromyces	sp.	10.1002/cbdv.201400267
NPA032340	Tenellic acid A methyl ester	C23H28O7	Fungus	Talaromyces	sp.	10.1002/cbdv.201400267
NPA032341	2-O-methylbutyrolactone I	C25H26O7	Fungus	Aspergillus	sp.	10.1002/cbdv.201400321
NPA032342	2-O-methylbutyrolactone II	C20H18O7	Fungus	Aspergillus	sp.	10.1002/cbdv.201400321
NPA032343	Penicillixanthone A	C32H30O14	Fungus	Setophoma	terrestris (MSX45109)	10.1002/ejoc.201402984
NPA032344	Eupeniacetal A	C26H32O8	Fungus	Eupenicillium	sp. 6A-9	10.1002/ejoc.201701335
NPA032345	Eupeniacetal B	C26H34O8	Fungus	Eupenicillium	sp. 6A-9	10.1002/ejoc.201701335
NPA032346	Dehydrocyclopeptine	C17H14N2O2	Fungus	Aspergillus	carneus HQ889708	10.1002/hlca.201400329
NPA032347	Viridicatin	C15H11NO2	Fungus	Aspergillus	carneus HQ889708	10.1002/hlca.201400329
NPA032348	(–)-3-butyl-7-hydroxyphthalide	C12H14O3	Fungus	Penicillium	claviforme	10.1007/s10600-015-1214-y
NPA032349	Isopatulin	C7H6O4	Fungus	Penicillium	claviforme	10.1007/s10600-015-1214-y
NPA032350	Formosusin A	C17H25NO3	Fungus	Paecilomyces	formosus	10.1016/j.bmc.2013.12.038
NPA032351	2-methyl-8-hydroxybenzeneheptanoic acid	C14H20O4	Bacterium	Streptomyces	nitrosporeus YBH10-5	10.1016/j.bmcl.2014.09.049
NPA032352	Cladospolide E	C12H20O4	Fungus	Cladosporium	sp. TZP29	10.1016/j.bmcl.2015.06.072
NPA032353	Marinoquinoline H	C17H12N2O	Bacterium	Mooreia	alkaloidigena CNX-216	10.1016/j.chembiol.2015.07.014
NPA032354	Marinoquinoline I	C17H19N3O	Bacterium	Mooreia	alkaloidigena CNX-216	10.1016/j.chembiol.2015.07.014
NPA032355	Rubrumline B	C25H33N3O4	Fungus	Eurotium	rubrum	10.1016/j.ejmech.2015.02.006
NPA032356	Rubrumline C	C26H33N3O5	Fungus	Eurotium	rubrum	10.1016/j.ejmech.2015.02.006
NPA032357	Rubrumline D	C24H29N3O4	Fungus	Eurotium	rubrum	10.1016/j.ejmech.2015.02.006
NPA032358	Rubrumline F	C25H35N3O4	Fungus	Eurotium	rubrum	10.1016/j.ejmech.2015.02.006
NPA032359	Rubrumline K	C20H23N3O4	Fungus	Eurotium	rubrum	10.1016/j.ejmech.2015.02.006
NPA032360	Rubrumline L	C23H27N3O5	Fungus	Eurotium	rubrum	10.1016/j.ejmech.2015.02.006
NPA032361	Rubrumline M	C19H23N3O3	Fungus	Eurotium	rubrum	10.1016/j.ejmech.2015.02.006
NPA032362	Rubrumline N	C20H25N3O3	Fungus	Eurotium	rubrum	10.1016/j.ejmech.2015.02.006
NPA032363	Rubrumline O	C19H23N3O2	Fungus	Eurotium	rubrum	10.1016/j.ejmech.2015.02.006
NPA032364	7-methyl-6-methoxy-3-oxo-1,3-dihydroisobenzofuran-4-carboxylic acid	C11H10O5	Fungus	Phomopsis	sp. A123	10.1016/j.fitote.2014.05.001
NPA032365	Trichaspside D or E	C22H37NO7	Fungus	Trichoderma	asperellum A-YMD-9-2	10.1016/j.fitote.2019.04.014
NPA032366	(–)-bipolaride B	C19H18O5	Fungus	Lophiostoma	bipolare BCC25910	10.1016/j.phytochem.2015.11.003
NPA032367	Bipolaride C	C19H20O5	Fungus	Lophiostoma	bipolare BCC25910	10.1016/j.phytochem.2015.11.003
NPA032368	(–)-bipolaride E	C18H18O5	Fungus	Lophiostoma	bipolare BCC25910	10.1016/j.phytochem.2015.11.003
NPA032369	Bipolarol A	C19H18O6	Fungus	Lophiostoma	bipolare BCC25910	10.1016/j.phytochem.2015.11.003
NPA032370	Bipolarol B	C20H22O6	Fungus	Lophiostoma	bipolare BCC25910	10.1016/j.phytochem.2015.11.003
NPA032371	Bipolarol C	C18H16O7	Fungus	Lophiostoma	bipolare BCC25910	10.1016/j.phytochem.2015.11.003
NPA032372	Bipolarol D	C18H18O6	Fungus	Lophiostoma	bipolare BCC25910	10.1016/j.phytochem.2015.11.003
NPA032373	Bipolarenic acid	C25H36O5	Fungus	Lophiostoma	bipolare BCC25910	10.1016/j.phytochem.2015.11.003
NPA032374	3-epi-merulin A	C14H22O4	Fungus	Pseudolagarobasidium	acaciicola	10.1016/j.phytochem.2015.11.016
NPA032375	(3S,6R,7S)-zingiberenol	C15H26O	Fungus	Trichoderma	asperellum cf44-2	10.1016/j.phytochem.2018.04.017
NPA032376	Terretonin A	C26H32O8	Fungus	Aspergillus	terreus EN-539	10.1016/j.phytol.2019.05.017
NPA032377	Terretonin G	C27H38O9	Fungus	Aspergillus	terreus EN-539	10.1016/j.phytol.2019.05.017
NPA032378	5,6-dimethoxymellein	C12H14O5	Fungus	Astrocystis	sp. BCC 22166	10.1016/j.tet.2014.02.004
NPA032379	Astropyrone	C13H18O5	Fungus	Astrocystis	sp. BCC 22166	10.1016/j.tet.2014.02.004
NPA032380	Mangrovamide A	C28H35N3O4	Fungus	Penicillium	sp.	10.1016/j.tet.2014.04.043
NPA032381	Mangrovamide B	C28H35N3O5	Fungus	Penicillium	sp.	10.1016/j.tet.2014.04.043
NPA032382	Guignardin F	C20H12O5	Fungus	Guignardia	sp. KcF8	10.1016/j.tet.2014.06.041
NPA032383	(+)-eurotiumide A	C20H28O5	Fungus	Eurotium	sp. XS-200900E6	10.1016/j.tet.2014.08.055
NPA032384	(+)-eurotiumide B	C20H28O5	Fungus	Eurotium	sp. XS-200900E6	10.1016/j.tet.2014.08.055
NPA032385	(-)-eurotiumide B	C20H28O5	Fungus	Eurotium	sp. XS-200900E6	10.1016/j.tet.2014.08.055
NPA032386	(+)-eurotiumide C	C20H26O5	Fungus	Eurotium	sp. XS-200900E6	10.1016/j.tet.2014.08.055
NPA032387	(-)-eurotiumide C	C20H26O5	Fungus	Eurotium	sp. XS-200900E6	10.1016/j.tet.2014.08.055
NPA032388	(+)-eurotiumide D	C20H26O5	Fungus	Eurotium	sp. XS-200900E6	10.1016/j.tet.2014.08.055
NPA032389	(-)-eurotiumide D	C20H26O5	Fungus	Eurotium	sp. XS-200900E6	10.1016/j.tet.2014.08.055
NPA032390	(+)-eurotiumide E	C20H26O5	Fungus	Eurotium	sp. XS-200900E6	10.1016/j.tet.2014.08.055
NPA032391	(-)-eurotiumide E	C20H26O5	Fungus	Eurotium	sp. XS-200900E6	10.1016/j.tet.2014.08.055
NPA032392	Truncateol G	C16H23ClO4	Fungus	Truncatella	angustata	10.1016/j.tet.2015.03.033
NPA032393	Truncateol H	C16H23ClO4	Fungus	Truncatella	angustata	10.1016/j.tet.2015.03.033
NPA032394	12-O-acetyl-AGI-B4	C18H16O8	Fungus	Scopulariopsis	sp.	10.1016/j.tet.2016.03.073
NPA032395	Orthosporinin	C12H10O4	Fungus	Ascotricha	sp. ZJ-M-5	10.1016/j.tet.2016.06.062
NPA032396	5′β-hydroxyzearalenone	C18H22O6	Fungus	Fusarium	sp. PSU-ES123	10.1016/j.tet.2016.08.048
NPA032397	7'β-hydroxyzearalenone	C18H22O6	Fungus	Fusarium	sp. PSU-ES123	10.1016/j.tet.2016.08.048
NPA032398	9′α-hydroxyzearalenone	C18H22O6	Fungus	Fusarium	sp. PSU-ES123	10.1016/j.tet.2016.08.048
NPA032399	Fusahydronaphthalene	C17H26O	Fungus	Fusarium	sp. PSU-ES123	10.1016/j.tet.2016.08.048
NPA032400	Marinocyanin F	C22H23BrN2O2	Bacterium	Streptomyces	sp. MAR4	10.1016/j.tet.2017.03.003
NPA032401	Homo-dehydrorabelomycin E	C20H16O5	Bacterium	Micromonospora	echinospora SCSIO 04089	10.1016/j.tet.2017.03.054
NPA032402	Wailupemycin L	C18H16O6	Bacterium	Streptomyces	sp. OUCMDZ-3434	10.1016/j.tet.2017.07.052
NPA032403	(10R)-xylariterpenoid B	C15H24O3	Fungus	Graphostroma	sp. MCCC 3A00421	10.1016/j.tet.2017.11.013
NPA032404	(10S)-xylariterpenoid A	C15H24O3	Fungus	Graphostroma	sp. MCCC 3A00421	10.1016/j.tet.2017.11.013
NPA032405	Divergolide C	C31H33NO8	Bacterium	Streptomyces	olivaceus SCSIO T05	10.1016/j.tet.2017.11.069
NPA032406	Divergolide I	C31H33NO8	Bacterium	Streptomyces	olivaceus SCSIO T05	10.1016/j.tet.2017.11.069
NPA032407	Divergolide J	C31H35NO8	Bacterium	Streptomyces	olivaceus SCSIO T05	10.1016/j.tet.2017.11.069
NPA032408	Divergolide K	C31H37NO9	Bacterium	Streptomyces	olivaceus SCSIO T05	10.1016/j.tet.2017.11.069
NPA032409	(E)-N-acetyl-MY336-A	C16H23NO4	Bacterium	Streptomyces	sp.	10.1016/j.tet.2018.11.001
NPA032410	2,3-dihydro-5,8-dihydroxy-2,2-dimethylchromen-4-one	C11H12O4	Fungus	Pseudopestalotiopsis	sp. PSU-AMF45	10.1016/j.tet.2019.130530
NPA032411	Monocerin	C16H20O6	Fungus	Penicillium	sp.	10.1016/j.tetlet.2015.07.072
NPA032412	Pestalpolyol I	C28H48O5	Fungus	Pestalotiopsis	clavispora	10.1016/j.tetlet.2016.03.101
NPA032413	Norpestaphthalide A	C10H10O5	Fungus	Pestalotiopsis	clavispora	10.1016/j.tetlet.2016.03.101
NPA032414	Salternamide A	C23H32ClNO5	Bacterium	Streptomyces	sp. actinobacterium	10.1021/acs.jnatprod.5b00002
NPA032415	Adametizine A	C21H23ClN2O8S2	Fungus	Penicillium	adametzioides AS-53	10.1021/acs.jnatprod.5b00102
NPA032416	Isopenicillide	C21H24O7	Fungus	Penicillium	pinophilum XS-20090E18	10.1021/acs.jnatprod.5b00575
NPA032417	5'-hydroxyasperentin	C16H20O6	Fungus	Aspergillus	sp. SF-5974	10.1021/acs.jnatprod.5b00614
NPA032418	Versixanthone A	C32H30O14	Fungus	Aspergillus	versicolor HDN1009	10.1021/acs.jnatprod.5b00636
NPA032419	12-keto-10,11-dehydrocurvularin	C16H16O6	Fungus	Penicillium	sp. DRF2	10.1021/acs.jnatprod.6b00295
NPA032420	Scopularide A	C36H57N5O7	Fungus	Nigrospora	oryzae PF18	10.1021/acs.jnatprod.6b00349
NPA032421	Pseurotin A3	C22H25NO8	Fungus	Phoma	sp. NTOU4195	10.1021/acs.jnatprod.6b00407
NPA032422	Preussomerin M	C21H16O8	Fungus	Lasiodiplodia	theobromae ZJ-HQ1	10.1021/acs.jnatprod.6b00639
NPA032423	Cottoquinazoline B	C23H19N5O4	Fungus	Aspergillus	versicolor LZD-14-1	10.1021/acs.jnatprod.6b00801
NPA032424	Cottoquinazoline C	C23H17N5O4	Fungus	Aspergillus	versicolor LZD-14-1	10.1021/acs.jnatprod.6b00801
NPA032425	Cottoquinazoline D	C26H25N5O4	Fungus	Aspergillus	versicolor LZD-14-1	10.1021/acs.jnatprod.6b00801
NPA032426	Chrodrimanin A	C25H32O7	Fungus	Penicillium	sp. SCS-KFD09	10.1021/acs.jnatprod.6b01061
NPA032427	Niphimycin Ia	C59H103N3O18	Bacterium	Streptomyces	sp. IMB7-145	10.1021/acs.jnatprod.7b00859
NPA032428	19-O-malonylniphimycin	C62H105N3O21	Bacterium	Streptomyces	sp. IMB7-145	10.1021/acs.jnatprod.7b00859
NPA032429	Trichosorbicillin I	C13H18O2	Fungus	Trichoderma	reesei 4670	10.1021/acs.jnatprod.8b01029
NPA032430	Pleosporalone D	C27H30O8	Fungus	Unknown	sp. CF09-1	10.1021/acs.jnatprod.8b01030
NPA032431	Iso-notoamide B	C26H29N3O4	Fungus	Aspergillus	versicolor	10.1021/acs.joc.8b01087
NPA032432	Fiscalin F	C28H31N5O5	Fungus	Neosartorya	udagawae HDN13-313	10.1021/acs.orglett.5b02964
NPA032433	Not named	C18H30O3	Bacterium	Pseudanabaena	sp.	10.1021/acs.orglett.8b00654
NPA032434	(+)-variecolortin A	C36H33N3O9	Fungus	Eurotium	sp. SCSIO F452	10.1021/acs.orglett.8b01880
NPA032435	(+)-variecolortin B	C36H33N3O7	Fungus	Eurotium	sp. SCSIO F452	10.1021/acs.orglett.8b01880
NPA032436	(–)-variecolortin C	C36H33N3O7	Fungus	Eurotium	sp. SCSIO F452	10.1021/acs.orglett.8b01880
NPA032437	23-hydroxyundecylprodiginine	C25H35N3O2	Bacterium	Streptomyces	sp. CNQ-617	10.1021/ja411544w
NPA032438	23-ketoundecylprodiginine	C25H33N3O2	Bacterium	Streptomyces	sp. CNQ-617	10.1021/ja411544w
NPA032439	Premarineosin A	C25H33N3O2	Bacterium	Streptomyces	sp. CNQ-617	10.1021/ja411544w
NPA032440	16-ketopremarineosin A	C25H31N3O3	Bacterium	Streptomyces	sp. CNQ-617	10.1021/ja411544w
NPA032441	Cochliomycin E	C19H22O7	Fungus	Cochliobolus	lunatus	10.1021/jf500248z
NPA032442	Chartarlactam I	C23H31NO5	Fungus	Stachybotrys	chartarum WGC-25C-6	10.1021/np400824u
NPA032443	Chartarlactam J	C23H31NO5	Fungus	Stachybotrys	chartarum WGC-25C-6	10.1021/np400824u
NPA032444	Chartarlactam P	C23H31NO5	Fungus	Stachybotrys	chartarum WGC-25C-6	10.1021/np400824u
NPA032445	13-deoxyaustalide Q acid	C25H32O6	Fungus	Penicillium	thomii KMM 4645	10.1021/np500151b
NPA032446	17-O-demethylaustalide B	C25H32O8	Fungus	Penicillium	thomii KMM 4645	10.1021/np500151b
NPA032447	2-O-acetylaltersolanol B	C18H18O7	Fungus	Stemphylium	sp. 33231	10.1021/np500340y
NPA032448	Alterporriol U	C32H30O12	Fungus	Stemphylium	sp. 33231	10.1021/np500340y
NPA032449	Alterporriol V	C32H22O10	Fungus	Stemphylium	sp. 33231	10.1021/np500340y
NPA032450	Alterporriol W	C32H26O12	Fungus	Stemphylium	sp. 33231	10.1021/np500340y
NPA032451	Psychrophilin E	C25H24N4O4	Fungus	Aspergillus	versicolor ZLN-60	10.1021/np500469b
NPA032452	Penicitol A	C19H26O4	Fungus	Penicillium	chrysogenum HND11-24	10.1021/np500586r
NPA032453	Penixanacid A	C16H10O8	Fungus	Penicillium	chrysogenum HND11-24	10.1021/np500586r
NPA032454	Isochaetominine C	C24H22N4O4	Fungus	Aspergillus	sp.	10.1021/np500683u
NPA032455	Lobophorin H	C42H60N2O10	Bacterium	Streptomyces	sp.	10.1038/ja.2013.115
NPA032456	Stachybogrisephenone A	C16H16O6	Fungus	Stachybotrys	sp. HH1 ZDDS1F1-2	10.1038/ja.2014.97
NPA032457	Oxirapentyn L	C16H21ClO5	Fungus	Isaria	felina	10.1038/ja.2017.53
NPA032458	PM100117	C82H130O29	Bacterium	Streptomyces	caniferus CA-271066	10.1039/c8ob03115k
NPA032459	PM100118	C82H130O28	Bacterium	Streptomyces	caniferus CA-271066	10.1039/c8ob03115k
NPA032460	Arthriniumnin A	C28H33NO4	Fungus	Arthrinium	arundinis	10.1055/s-0034-1383403
NPA032461	Arthriniumnin B	C28H33NO5	Fungus	Arthrinium	arundinis	10.1055/s-0034-1383403
NPA032462	Arthriniumnin C	C28H33NO5	Fungus	Arthrinium	arundinis	10.1055/s-0034-1383403
NPA032463	Arthriniumnin D	C28H35NO5	Fungus	Arthrinium	arundinis	10.1055/s-0034-1383403
NPA032464	Nectriapyrone D	C11H14O4	Fungus	Nectria	sp. HLS206	10.1080/10286020.2015.1040778
NPA032465	Varioxiranol I	C25H28O6	Fungus	Emericella	variecolor	10.1080/10286020.2015.1119127
NPA032466	Varioxiranol J	C25H28O6	Fungus	Emericella	variecolor	10.1080/10286020.2015.1119127
NPA032467	Penicitrinol G	C29H34O11	Fungus	Penicillium	citrinum SCSGAF 0167	10.1080/14786419.2013.843177
NPA032468	3H-imidazole-4-carboxylic acid	C4H4N2O2	Bacterium	Pelomonas	puraquae	10.1080/14786419.2014.891591
NPA032469	2-methyl-3H-imidazole-4-carboxylic acid	C5H6N2O2	Bacterium	Pelomonas	puraquae	10.1080/14786419.2014.891591
NPA032470	Pelopurin A	C10H14N2O3	Bacterium	Pelomonas	puraquae	10.1080/14786419.2014.891591
NPA032471	Pelopurin B	C10H14N2O4	Bacterium	Pelomonas	puraquae	10.1080/14786419.2014.891591
NPA032472	Brevibactin B	C9H14N2O2	Bacterium	Brevibacterium	sp. L-4	10.1080/14786419.2015.1026340
NPA032473	Brevibactin C	C9H14N2O2	Bacterium	Brevibacterium	sp. L-4	10.1080/14786419.2015.1026340
NPA032474	Botryosphaerin B	C15H16O6	Fungus	Botryosphaeria	sp. SCSIO KcF6	10.1080/14786419.2015.1050670
NPA032475	Trichodenol B	C14H18O5	Fungus	Hypocrea	koningii PF04	10.1080/14786419.2015.1129333
NPA032476	6α-hydroxybrefeldin C	C16H24O4	Fungus	Penicillium	sp. DT-F29	10.1080/14786419.2016.1169414
NPA032477	Penialidin F	C13H12O6	Fungus	Penicillium	janthinellum DT-F29	10.1080/14786419.2017.1354188
NPA032478	2-(furan-2-yl)-5-(2S,3S,4-trihydroxybutyl)pyrazine	C12H14N2O4	Bacterium	Jishengella	endophytica 161111	10.3390/md12010477
NPA032479	(S)-4-isobutyl-3-oxo-3,4-dihydro-1H-pyrrolo[2,1-c][1,4]oxazine-6-carbaldehyde	C12H15NO3	Bacterium	Jishengella	endophytica 161111	10.3390/md12010477
NPA032480	(S)-4-isopropyl-3-oxo-3,4-dihydro-1H-pyrrolo[2,1-c][1,4]oxazine-6-carbaldehyde	C11H13NO3	Bacterium	Jishengella	endophytica 161111	10.3390/md12010477
NPA032481	(4S)-4-(2-methylbutyl)-3-oxo-3,4-dihydro-1H-pyrrolo[2,1-c][1,4]oxazine-6-carbaldehyde	C12H15NO3	Bacterium	Jishengella	endophytica 161111	10.3390/md12010477
NPA032482	(S)-4-benzyl-3-oxo-3,4-dihydro-1H-pyrrolo[2,1-c] [1,4]oxazine-6-carbaldehyde	C15H13NO3	Bacterium	Jishengella	endophytica 161111	10.3390/md12010477
NPA032483	26-hydroxyverruculogen	C27H33N3O8	Fungus	Penicillium	brefeldianum SD-273	10.3390/md12020746
NPA032484	Streptophenazine J	C25H30N2O6	Bacterium	Streptomyces	sp. strain HB202	10.3390/md12041699
NPA032485	Streptophenazine K	C24H28N2O5	Bacterium	Streptomyces	sp. strain HB202	10.3390/md12041699
NPA032486	Not named	C29H41NO6	Fungus	Stachybotrys	sp. MF347	10.3390/md12041924
NPA032487	Not named	C32H39NO6	Fungus	Stachybotrys	sp. MF347	10.3390/md12041924
NPA032488	Metagenebiindole A	C17H14N2O	Bacterium	Escherichia	coli	10.3390/md12042156
NPA032489	Felinone A	C11H16O4	Fungus	Beauveria	felina EN-135	10.3390/md12052816
NPA032490	Aspilactonol E/F	C9H14O4	Fungus	Aspergillus	sp. 16-02-1	10.3390/md12063116
NPA032491	(S)-2-(2'-hydroxyethyl)-4-methyl-_-butyrolactone	C7H10O3	Fungus	Aspergillus	sp. 16-02-1	10.3390/md12063116
NPA032492	Violapyrone C	C14H22O3	Bacterium	Streptomyces	sp.	10.3390/md12063283
NPA032493	β-aflatrem	C32H39NO4	Fungus	Aspergillus	flavus OUCMDZ-2205	10.3390/md12073970
NPA032494	Pasapaline	C27H31NO3	Fungus	Aspergillus	flavus OUCMDZ-2205	10.3390/md12073970
NPA032495	(10R)-nocapyrone L	C16H26O3	Bacterium	Nocardiopsis	sp.	10.3390/md12074110
NPA032496	(10S)-nocapyrone L	C16H26O3	Bacterium	Nocardiopsis	sp.	10.3390/md12074110
NPA032497	(R)-2-(2-hydroxypropan-2-yl)-2,3-dihydro-5-hydroxybenzofuran	C11H14O3	Fungus	Pseudallescheria	boydii	10.3390/md12074188
NPA032498	(R)-2-(2-hydroxypropan-2-yl)-2,3-dihydro-5-methoxybenzofuran	C12H16O3	Fungus	Pseudallescheria	boydii	10.3390/md12074188
NPA032499	Similanpyrone A	C13H8O5	Fungus	Aspergillus	similanensis	10.3390/md12105160
NPA032500	1,2,3,4-tetrahydro-2,3-dimethyl-1,4-dioxopyrazino[1,2-a]indole	C13H12N2O2	Fungus	Neosartorya	pseudofischeri	10.3390/md12115657
NPA032501	1,2,3,4-tetrahydro-2-methyl-3-methylene-1,4-dioxopyrazino[1,2-a]indole	C13H10N2O2	Fungus	Neosartorya	pseudofischeri	10.3390/md12115657
NPA032502	N-methyl-1H-indole-2-carboxamide	C10H10N2O	Fungus	Neosartorya	pseudofischeri	10.3390/md12115657
NPA032503	Reduced gliotoxin	C13H16N2O4S2	Fungus	Neosartorya	pseudofischeri	10.3390/md12115657
NPA032504	6-acetylbis(methylthio)gliotoxin	C17H22N2O5S2	Fungus	Neosartorya	pseudofischeri	10.3390/md12115657
NPA032505	Guignardone J	C16H22O5	Fungus	Aspergillus	flavipes AIL8	10.3390/md13010237
NPA032506	Guignardone K	C17H24O5	Fungus	Aspergillus	flavipes AIL8	10.3390/md13010237
NPA032507	Ascosetin	C26H37NO5	Fungus	Unknown-fungus	sp.	10.3390/md13084617
NPA032508	Frigocyclinone	C27H29NO6	Bacterium	Streptomyces	sp. M7-15	10.3390/md13084682
NPA032509	6-acetylbisdethiobis(methylthio)gliotoxin	C17H22N2O5S2	Fungus	Dichotomomyces	cejpii	10.3390/md13084949
NPA032510	5a,6-anhydrobisdethiobis(methylthio)gliotoxin	C15H18N2O3S2	Fungus	Dichotomomyces	cejpii	10.3390/md13084949
NPA032511	Epiremisporine B1	C31H26O12	Fungus	Penicillium	purpurogenum	10.3390/md13085219
NPA032512	Not named	C12H17NO	Fungus	Hypocrea	koningii PF04	10.3390/md13095579
NPA032513	Not named	C13H19NO	Fungus	Hypocrea	koningii PF04	10.3390/md13095579
NPA032514	7-deacetylpyripyropene A	C29H35NO9	Fungus	Neosartorya	pseudofischeri	10.3390/md14010018
NPA032515	Not named	C17H26O4	Fungus	Neosartorya	pseudofischeri	10.3390/md14010018
NPA032516	12-epicitreoisocoumarinol	C14H16O6	Fungus	Nectria	sp. HN001	10.3390/md14050086
NPA032517	Anhydroarthrosporone	C15H22O2	Fungus	Chondrostereum	sp.	10.3390/md14090157
